Compound.Name,Formula_Underivitized_forMod,Model_Properties
20200803_1535_blob_936_,C10H10O2,FALSE
20200803_1535_blob_654_,C10H10O2,FALSE
20200803_0949_blob_1827_,C10H9NO2,FALSE
20200803_1535_blob_687_,C11H11N,FALSE
20200803_1535_blob_876_,C11H13NS,FALSE
20200803_1535_blob_43_,C11H13NS,FALSE
20200803_1535_blob_703_,C11H14O2,FALSE
20200803_0949_blob_1138_,C12H11N,FALSE
20200803_1535_blob_651_,C12H13N,FALSE
20200803_0949_blob_1393_,C12H13N,FALSE
20200803_1535_blob_843_,C12H13NO2,FALSE
20200803_1535_blob_741_,C12H14O4,FALSE
20200803_1535_blob_398_,C12H20O4,FALSE
20200803_1535_blob_1421_,C12H22O2,FALSE
20200803_1535_blob_549_,C13H16O4,FALSE
20200803_0949_blob_2000_,C13H20O2,FALSE
20200803_1535_blob_1540_,C13H22O3,FALSE
20200803_1535_blob_849_,C13H9N,FALSE
20200803_1535_blob_170_,C13H9NS,FALSE
20200803_0949_blob_766_,C14H11NS,FALSE
20200803_1535_blob_934_,C14H12S,FALSE
20200803_1535_blob_818_,C14H14O4,FALSE
20200803_1535_blob_1063_,C14H18O,FALSE
20200803_1535_blob_1046_,C14H20O2,FALSE
20200803_1535_blob_556_,C14H8O2,FALSE
20200803_1535_blob_783_,C15H12,FALSE
20200803_1535_blob_866_,C15H20O,FALSE
20200803_1535_blob_26_,C15H22O2,FALSE
20200803_1535_blob_560_,C15H22O2,FALSE
20200803_1535_blob_7_,C15H22O3,FALSE
20200803_1535_blob_1058_,C15H24O,FALSE
20200803_1535_blob_657_,C15H30O2,FALSE
20200803_1535_blob_698_,C16H10,FALSE
20200803_1535_blob_671_,C16H14,FALSE
20200803_1535_blob_748_,C16H14,FALSE
20200803_1535_blob_758_,C16H14,FALSE
20200803_1535_blob_695_,C16H14,FALSE
20200803_1535_blob_5_fb,C16H22O3,FALSE
20200803_1535_blob_2_,C16H22O3,FALSE
20200803_1535_blob_13_,C16H22O3,FALSE
20200803_1535_blob_6_,C16H22O4,FALSE
20200803_1535_blob_134_,C16H22O4,FALSE
20200803_1535_blob_755_,C16H22O4,FALSE
20200803_1535_blob_17_,C16H24O2,FALSE
20200803_1535_blob_23_fb,C16H30O4,FALSE
20200803_1535_blob_797_,C16H32O,FALSE
20200803_1535_blob_106_fb,C16H32O2,FALSE
20200803_1535_blob_945_,C16H32O2,FALSE
20200803_1535_blob_418_,C16H34O,FALSE
20200803_1535_blob_700_,C17H12,FALSE
20200803_1535_blob_688_,C17H16,FALSE
20200803_1535_blob_1104_,C17H24O3,FALSE
20200803_0949_blob_822_,C17H34O2,FALSE
20200803_1535_blob_16_,C17H34O2,FALSE
20200803_0949_blob_688_,C25H42O2,FALSE
20200803_1535_blob_511_,C17H34O2,FALSE
20200803_1535_blob_772_,C18H12,FALSE
20200803_1535_blob_856_,C18H12,FALSE
20200803_1535_blob_97_,C18H26O,FALSE
20200803_0949_blob_750_,C18H34O2,FALSE
20200803_1535_blob_18_,C18H36O,FALSE
20200803_1535_blob_750_,C18H36O2,FALSE
20200803_1535_blob_1064_,C18H38,FALSE
20200803_1535_blob_691_oil,C18H38O,FALSE
20200803_1535_blob_1005_,C19H14,FALSE
20200803_0949_blob_800_,C20H32O2,FALSE
20200803_1535_blob_947_,C20H42,FALSE
20200803_1535_blob_742_,C21H44,FALSE
20200803_1535_blob_543_oil,C22H46,FALSE
20200803_0949_blob_735_oil,C23H44O3,FALSE
20200803_1535_blob_33_oil,C23H48,FALSE
20200803_1535_blob_484_oil,C23H48,FALSE
20200803_1535_blob_622_,C24H38O4,FALSE
20200803_1535_blob_29_oil,C24H50,FALSE
20200803_1535_blob_443_oil,C25H52,FALSE
20200803_1535_blob_451_,C26H50O4,FALSE
20200803_1535_blob_659_,C26H54,FALSE
20200803_1535_blob_469_oil,C26H54,FALSE
20200803_1535_blob_739_,C27H56,FALSE
20200803_1535_blob_1012_,C28H58,FALSE
20200803_1535_blob_1453_,C29H60,FALSE
20200803_0949_blob_1276_,C29H60,FALSE
20200803_0949_blob_623_,C6H10O5,FALSE
20200803_1535_blob_958_,C7H5NS,FALSE
20200803_0949_blob_1483_,C8H4O3,FALSE
20200803_1535_blob_764_,C8H7NS2,FALSE
20200803_1535_blob_615_,C9H10N2O3,FALSE
20200803_0949_blob_1315_,C9H19NO,FALSE
20200803_1535_blob_1174_,C9H7NO2,FALSE
20200803_0949_blob_1249_,PO4,FALSE
20200803_0949_blob_900_,C7H6O2,FALSE
20200803_0949_blob_981_,C7H6O2,FALSE
20200803_0949_blob_1273_,C7H6O2,FALSE
20200803_1535_blob_47_,C16H22O3,FALSE
20200803_1535_blob_116_,C14H30O,FALSE
20200803_1535_blob_805_,C12H26O,FALSE
20200803_1535_blob_645_,C14H28O2,FALSE
20200803_1535_blob_558_,C15H32O,FALSE
20200803_1535_blob_992_,C12H24O2,FALSE
20200803_1535_blob_822_,C15H30O2,FALSE
20200803_1535_blob_786_,C14H30O,FALSE
20200803_1535_blob_919_,C17H36O,FALSE
20200803_1535_blob_1349_,C7H6O3,FALSE
20200803_1535_blob_1022_,C14H22O,FALSE
20200803_0949_blob_893_,C14H22O,FALSE
